('Total Revenue', '184,903,000', '143,015,000', '110,360,000', '168,088,000', '125,843,000')
         569302 function calls (546289 primitive calls) in 6.184 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       28    0.000    0.000    0.000    0.000 typing.py:266(_remove_dups_flatten)
       59    0.000    0.000    0.001    0.000 typing.py:1130(copy_with)
       66    0.000    0.000    0.002    0.000 _htmlparser.py:104(handle_startendtag)
       22    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1174(create_module)
      462    0.000    0.000    0.000    0.000 css_types.py:72(__hash__)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2181(__init__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
  228/226    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       17    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        1    0.000    0.000    0.100    0.100 financial.py:22(page_parser)
        2    0.000    0.000    0.027    0.014 connection.py:1(<module>)
      155    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.001    0.001 hmac.py:1(<module>)
        1    0.000    0.000    0.000    0.000 zipfile.py:2160(CompleteDirs)
       16    0.000    0.000    0.000    0.000 parse.py:372(urlparse)
       88    0.000    0.000    0.000    0.000 six.py:142(__init__)
      136    0.000    0.000    0.000    0.000 os.py:697(__iter__)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1334(_path_hooks)
      224    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       32    0.000    0.000    0.183    0.006 models.py:756(generate)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
       39    0.000    0.000    0.001    0.000 element.py:1518(__getattr__)
        1    0.000    0.000    0.031    0.031 connectionpool.py:1(<module>)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1607(<setcomp>)
       52    0.000    0.000    0.003    0.000 css_parser.py:1113(<listcomp>)
       10    0.000    0.000    0.004    0.000 enum.py:536(_convert_)
       16    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
       44    0.000    0.000    0.000    0.000 ipaddress.py:1881(__init__)
       42    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
      245    0.000    0.000    0.000    0.000 typing.py:1008(<genexpr>)
       79    0.000    0.000    0.000    0.000 element.py:389(_last_descendant)
      293    0.000    0.000    0.000    0.000 ssl.py:1108(_checkClosed)
        2    0.000    0.000    0.002    0.001 cookies.py:1(<module>)
        1    0.000    0.000    0.000    0.000 feedparser.py:471(_parse_headers)
       12    0.000    0.000    0.000    0.000 enum.py:947(_create_pseudo_member_)
        3    0.000    0.000    0.000    0.000 url.py:330(parse_url)
      342    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       76    0.000    0.000    0.000    0.000 element.py:1330(_all_strings)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
       66    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       19    0.000    0.000    0.000    0.000 ipaddress.py:1468(__init__)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
       66    0.000    0.000    0.000    0.000 re.py:269(escape)
