('Total Revenue', '184,903,000', '143,015,000', '110,360,000', '168,088,000', '125,843,000')
         569323 function calls (546299 primitive calls) in 1.194 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1056    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      146    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
  151/150    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      331    0.000    0.000    0.116    0.000 re.py:249(compile)
       32    0.000    0.000    0.179    0.006 response.py:728(read_chunked)
      279    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       32    0.000    0.000    0.161    0.005 response.py:706(_handle_chunk)
        8    0.000    0.000    0.000    0.000 url.py:210(_encode_invalid_chars)
       89    0.000    0.000    0.000    0.000 typing.py:205(_collect_type_vars)
      238    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
       12    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
      226    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      234    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
    94/57    0.000    0.000    0.121    0.002 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      279    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
        3    0.000    0.000    0.015    0.005 utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x10b1879a0}
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      992    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
       78    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
       48    0.000    0.000    0.000    0.000 __init__.py:617(_linkage_fixer)
      201    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      156    0.000    0.000    0.001    0.000 _collections_abc.py:901(__iter__)
      150    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      192    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      470    0.000    0.000    0.000    0.000 {built-in method from_bytes}
    65/34    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      509    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       28    0.000    0.000    0.001    0.000 typing.py:482(Union)
       19    0.000    0.000    0.000    0.000 parse.py:437(urlsplit)
      143    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'set_ciphers' of '_ssl._SSLContext' objects}
       36    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
