('Total Revenue', '184,903,000', '143,015,000', '110,360,000', '168,088,000', '125,843,000')
         661467 function calls (635819 primitive calls) in 1.271 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      450    0.000    0.000    0.008    0.000 sre_parse.py:96(closegroup)
      356    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      146    0.000    0.000    0.663    0.005 ssl.py:1120(read)
     1792    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       59    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      432    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      243    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      561    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      146    0.000    0.000    0.663    0.005 ssl.py:1251(recv)
      355    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      243    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      428    0.000    0.000    0.000    0.000 __init__.py:739(handle_data)
      158    0.000    0.000    0.000    0.000 _connection.py:292(_respond_to_state_changes)
      138    0.000    0.000    0.000    0.000 typing.py:252(_deduplicate)
      900    0.000    0.000    0.000    0.000 _exceptions.py:5(map_exceptions)
       84    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
      146    0.000    0.000    0.000    0.000 _receivebuffer.py:52(__iadd__)
      192    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      924    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      273    0.000    0.000    0.000    0.000 css_parser.py:346(match)
      296    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
     1360    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     1660    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      146    0.000    0.000    0.000    0.000 _connection.py:310(receive_data)
       43    0.000    0.000    0.001    0.000 typing.py:1301(__class_getitem__)
  182/133    0.000    0.000    0.006    0.000 typing.py:400(__getitem__)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      749    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      164    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
     1334    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      455    0.000    0.000    0.002    0.000 typing.py:514(<genexpr>)
       65    0.000    0.000    0.002    0.000 typing.py:1206(__getitem__)
      193    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
      335    0.000    0.000    0.139    0.000 re.py:249(compile)
      152    0.000    0.000    0.004    0.000 _decoders.py:74(decode)
      265    0.000    0.000    0.000    0.000 types.py:176(__get__)
      495    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      292    0.000    0.000    0.000    0.000 _receivebuffer.py:59(__len__)
       37    0.000    0.000    0.000    0.000 dataclasses.py:723(_get_field)
      405    0.000    0.000    0.000    0.000 typing.py:1225(__eq__)
      386    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      921    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       69    0.000    0.000    0.001    0.000 css_parser.py:544(parse_tag_pattern)
       90    0.000    0.000    0.001    0.000 enum.py:980(__or__)
      289    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      296    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      268    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      158    0.000    0.000    0.000    0.000 _state.py:246(_fire_event_triggered_transitions)
      305    0.000    0.000    0.000    0.000 _decoders.py:173(decode)
       32    0.000    0.000    0.000    0.000 typing.py:1328(__init_subclass__)
       28    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1578(_fill_cache)
      297    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
    50/21    0.000    0.000    0.178    0.008 {built-in method builtins.__import__}
       13    0.000    0.000    0.003    0.000 enum.py:483(_create_)
      367    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
        1    0.000    0.000    0.072    0.072 css_parser.py:1(<module>)
       78    0.000    0.000    0.001    0.000 parser.py:122(set_cdata_mode)
      194    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
       48    0.000    0.000    0.000    0.000 __init__.py:617(_linkage_fixer)
      473    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      311    0.000    0.000    0.001    0.000 typing.py:1126(<genexpr>)
      770    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      308    0.000    0.000    0.000    0.000 _events.py:85(__eq__)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1485(__init__)
       15    0.000    0.000    0.000    0.000 _util.py:105(make_sentinel)
       49    0.000    0.000    0.002    0.000 typing.py:522(Optional)
      243    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
      336    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
       75    0.000    0.000    0.002    0.000 abc.py:105(__new__)
       26    0.000    0.000    0.000    0.000 typing.py:797(__init__)
       28    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      291    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
      146    0.000    0.000    0.000    0.000 _receivebuffer.py:56(__bool__)
        2    0.000    0.000    0.008    0.004 _sockets.py:1(<module>)
      946    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
    42/30    0.000    0.000    0.011    0.000 css_parser.py:581(parse_pseudo_class)
       77    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
      153    0.000    0.000    0.170    0.001 _client.py:121(__iter__)
       45    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
      153    0.000    0.000    0.170    0.001 http11.py:284(__iter__)
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1609(_ip_int_from_string)
     1023    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
